book_id,title,authors,original_publication_year,language_code,average_rating,image_url,description,subjects,data_source,search_text
/works/OL15443753W,100 perfect pairings,Jill Silverman Hough,2011.0,eng,,,"cooking, wine and wine making","cooking, wine and wine making",Open Library subject: cooking,"Title: 100 perfect pairings Author: Jill Silverman Hough Subjects: cooking, wine and wine making Description: cooking, wine and wine making Published: 2011.0"
10644930,11/22/63,Stephen King,2011.0,eng,4.29,https://images.gr-assets.com/books/1327876792m/10644930.jpg,Includes book club kit with discussion questions and author interview.,,GoodBooks + Google Books enrichment,Title: 11/22/63 Author: Stephen King Subjects: Description: Includes book club kit with discussion questions and author interview. Published: 2011.0
4835838,"11 Birthdays (Willow Falls, #1)",Wendy Mass,2009.0,eng,4.18,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,"A hilarious, magical new novel from award-winning author Wendy Mass is the first in a series of birthday themed books! It's Amanda's 11th birthday and she is super excited. But from the start, everything goes wrong. The worst part of it all is that she and her best friend, Leo, with whom she's shared every birthday, have fallen out and this will be the first birthday they haven't shared together. When Amanda turns in for the night, glad to have her birthday behind her, she wakes up happy for a new day. Or is it? Her birthday seems to be repeating itself. What is going on?! And how can she fix it? Only time, friendship, and a little luck will tell. . .",,GoodBooks + Google Books enrichment,"Title: 11 Birthdays (Willow Falls, #1) Author: Wendy Mass Subjects: Description: A hilarious, magical new novel from award-winning author Wendy Mass is the first in a series of birthday themed books! It's Amanda's 11th birthday and she is super excited. But from the start, everything goes wrong. The worst part of it all is that she and her best friend, Leo, with whom she's shared every birthday, have fallen out and this will be the first birthday they haven't shared together. When Amanda turns in for the night, glad to have her birthday behind her, she wakes up happy for a new day. Or is it? Her birthday seems to be repeating itself. What is going on?! And how can she fix it? Only time, friendship, and a little luck will tell. . . Published: 2009.0"
11872242,"11th Hour (Women's Murder Club, #11)","James Patterson, Maxine Paetro",2012.0,eng,4.02,https://images.gr-assets.com/books/1328409443m/11872242.jpg,"'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun ______________ The Sunday Times bestseller A wolf in sheep's clothing Detective Lindsay Boxer doesn't know who she can trust. A weapon stolen from a police evidence locker is used in a series of vigilante murders, and Lindsay must investigate her closest colleagues and ask herself if they are capable of such heinous crimes. When two severed heads are left in a famous actor's garden, Lindsay is called to investigate the grisly scene, unearthing a third head and wondering how many more she'll find before she catches the killer. Amid the chaos of these crimes, Lindsay struggles with her pregnancy and the vindictive reporter dragging her personal life into the public eye. She and her unborn baby are heading into dangerous territory... ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com",,GoodBooks + Google Books enrichment,"Title: 11th Hour (Women's Murder Club, #11) Author: James Patterson, Maxine Paetro Subjects: Description: 'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun ______________ The Sunday Times bestseller A wolf in sheep's clothing Detective Lindsay Boxer doesn't know who she can trust. A weapon stolen from a police evidence locker is used in a series of vigilante murders, and Lindsay must investigate her closest colleagues and ask herself if they are capable of such heinous crimes. When two severed heads are left in a famous actor's garden, Lindsay is called to investigate the grisly scene, unearthing a third head and wondering how many more she'll find before she catches the killer. Amid the chaos of these crimes, Lindsay struggles with her pregnancy and the vindictive reporter dragging her personal life into the public eye. She and her unborn baby are heading into dangerous territory... ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com Published: 2012.0"
15734464,"12th of Never (Women's Murder Club, #12)","James Patterson, Maxine Paetro",2013.0,en-US,3.99,https://images.gr-assets.com/books/1353436409m/15734464.jpg,"'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun ______________ The Sunday Times bestseller A baby on the way and two killers on the loose. An eccentric professor walks into Detective Lindsay Boxer's homicide department to report a murder that hasn't yet happened. A convicted serial killer wakes from a two-year coma. He says he's ready to tell where the bodies are buried, but does he have a more sinister plan in mind? Lindsay doesn't have much time to stop a terrifying future from unfolding. But all the crimes in the world seem like nothing when she is suddenly faced with the possibility of the most devastating loss of her life. ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com",,GoodBooks + Google Books enrichment,"Title: 12th of Never (Women's Murder Club, #12) Author: James Patterson, Maxine Paetro Subjects: Description: 'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun ______________ The Sunday Times bestseller A baby on the way and two killers on the loose. An eccentric professor walks into Detective Lindsay Boxer's homicide department to report a murder that hasn't yet happened. A convicted serial killer wakes from a two-year coma. He says he's ready to tell where the bodies are buried, but does he have a more sinister plan in mind? Lindsay doesn't have much time to stop a terrifying future from unfolding. But all the crimes in the world seem like nothing when she is suddenly faced with the possibility of the most devastating loss of her life. ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com Published: 2013.0"
10473214,"13 Gifts (Willow Falls, #3)",Wendy Mass,2011.0,eng,4.25,https://images.gr-assets.com/books/1302009711m/10473214.jpg,"Wendy Mass turns to another magical birthday: 13!When Tara, a self-proclaimed shrinking violet, steals the school mascot, a goat, in order to make some friends with the popular crowd and gets caught, she gets herself in a heap of trouble. In addition, her parents decide that instead of taking her on their summer trip to Madagascar to study the courtship rituals of the Bamboo Lemur, she must go stay with her aunt, uncle, and bratty cousin Emily St. Claire in Willow Falls. Tara thinks it's a good time to start over; she'll be turning 13 after all, so she might as well make the best of it and perhaps even attempt to break out of her shell (in a non-criminal manner). What Tara doesn't know is that this charmed town has something big in store for her on her 13th birthday. It's not a typical birthday. But then again, nothing is Willow Falls is exactly typical!",,GoodBooks + Google Books enrichment,"Title: 13 Gifts (Willow Falls, #3) Author: Wendy Mass Subjects: Description: Wendy Mass turns to another magical birthday: 13!When Tara, a self-proclaimed shrinking violet, steals the school mascot, a goat, in order to make some friends with the popular crowd and gets caught, she gets herself in a heap of trouble. In addition, her parents decide that instead of taking her on their summer trip to Madagascar to study the courtship rituals of the Bamboo Lemur, she must go stay with her aunt, uncle, and bratty cousin Emily St. Claire in Willow Falls. Tara thinks it's a good time to start over; she'll be turning 13 after all, so she might as well make the best of it and perhaps even attempt to break out of her shell (in a non-criminal manner). What Tara doesn't know is that this charmed town has something big in store for her on her 13th birthday. It's not a typical birthday. But then again, nothing is Willow Falls is exactly typical! Published: 2011.0"
17020,"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,2005.0,eng,3.65,https://images.gr-assets.com/books/1375030179m/17020.jpg,Book description to come.,,GoodBooks + Google Books enrichment,"Title: 13 Little Blue Envelopes (Little Blue Envelope, #1) Author: Maureen Johnson Subjects: Description: Book description to come. Published: 2005.0"
39020,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,2005.0,eng,4.01,https://images.gr-assets.com/books/1327865228m/39020.jpg,"NATIONAL BESTSELLER • A groundbreaking work of science, history, and archaeology that radically alters our understanding of the Americas before the arrival of Columbus in 1492—from “a remarkably engaging writer” (The New York Times Book Review). Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any contemporary European city. Mexican cultures created corn in a specialized breeding process that it has been called man’s first feat of genetic engineering. Indeed, Indians were not living lightly on the land but were landscaping and manipulating their world in ways that we are only now beginning to understand. Challenging and surprising, this a transformative new look at a rich and fascinating world we only thought we knew.",,GoodBooks + Google Books enrichment,"Title: 1491: New Revelations of the Americas Before Columbus Author: Charles C. Mann Subjects: Description: NATIONAL BESTSELLER • A groundbreaking work of science, history, and archaeology that radically alters our understanding of the Americas before the arrival of Columbus in 1492—from “a remarkably engaging writer” (The New York Times Book Review). Contrary to what so many Americans learn in school, the pre-Columbian Indians were not sparsely settled in a pristine wilderness; rather, there were huge numbers of Indians who actively molded and influenced the land around them. The astonishing Aztec capital of Tenochtitlan had running water and immaculately clean streets, and was larger than any contemporary European city. Mexican cultures created corn in a specialized breeding process that it has been called man’s first feat of genetic engineering. Indeed, Indians were not living lightly on the land but were landscaping and manipulating their world in ways that we are only now beginning to understand. Challenging and surprising, this a transformative new look at a rich and fascinating world we only thought we knew. Published: 2005.0"
23346918,"14th Deadly Sin (Women’s Murder Club, #14)","James Patterson, Maxine Paetro",2015.0,eng,3.99,https://images.gr-assets.com/books/1425682789m/23346918.jpg,"'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun ______________ The Sunday Times bestseller A new terror is sweeping the streets of San Francisco. And the killers look a lot like cops... As Detective Lindsay Boxer investigates whether the perpetrators are brilliant impostors or police officers gone rogue, she receives a chilling warning to back off. On the other side of the city, an innocent woman is murdered in broad daylight in front of dozens of witnesses. But there are no clues and no apparent motive. With killers in disguise, a maniac murderer on the loose, and danger getting ever closer to Lindsay's door, could this be one case too many for the Women's Murder Club? ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com",,GoodBooks + Google Books enrichment,"Title: 14th Deadly Sin (Women’s Murder Club, #14) Author: James Patterson, Maxine Paetro Subjects: Description: 'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun ______________ The Sunday Times bestseller A new terror is sweeping the streets of San Francisco. And the killers look a lot like cops... As Detective Lindsay Boxer investigates whether the perpetrators are brilliant impostors or police officers gone rogue, she receives a chilling warning to back off. On the other side of the city, an innocent woman is murdered in broad daylight in front of dozens of witnesses. But there are no clues and no apparent motive. With killers in disguise, a maniac murderer on the loose, and danger getting ever closer to Lindsay's door, could this be one case too many for the Women's Murder Club? ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com Published: 2015.0"
25613617,15th Affair (Women's Murder Club #15),"James Patterson, Maxine Paetro",2016.0,eng,4.04,https://images.gr-assets.com/books/1444918177m/25613617.jpg,"The 15th novel in the No. 1 Sunday Times bestselling series ______________________________ 'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun __________________________________ Four bodies are found in a luxury hotel The first is a man who checked in under a false name. Two are in a room next door, full of surveillance equipment. And the fourth is the house maid, who saw too much. Detective Lindsay Boxer is sent in to investigate and hunt down an elusive and dangerous suspect. But when her husband Joe goes missing, she begins to fear that the suspect she is searching for could be him. As the case gets ever more complicated and personal, San Francisco is suddenly faced with an atrocity no one will ever forget. Sometimes secrets can be deadly . . . ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com The 24th Hour was a No. 1 Sunday Times Bestseller 17/03/2024",,GoodBooks + Google Books enrichment,"Title: 15th Affair (Women's Murder Club #15) Author: James Patterson, Maxine Paetro Subjects: Description: The 15th novel in the No. 1 Sunday Times bestselling series ______________________________ 'Smart characters, shocking twists' Lisa Gardner 'I couldn't turn the pages quick enough' Heidi Perks 'Terrific, high-octane, really pacy' Jo Spain 'A compelling read with great set pieces and, most of all, that charismatic cast of characters' Sun __________________________________ Four bodies are found in a luxury hotel The first is a man who checked in under a false name. Two are in a room next door, full of surveillance equipment. And the fourth is the house maid, who saw too much. Detective Lindsay Boxer is sent in to investigate and hunt down an elusive and dangerous suspect. But when her husband Joe goes missing, she begins to fear that the suspect she is searching for could be him. As the case gets ever more complicated and personal, San Francisco is suddenly faced with an atrocity no one will ever forget. Sometimes secrets can be deadly . . . ______________ More praise for the Women's Murder Club 'Fast-moving, intricately plotted . . . Boxer steals the show as the tough cop with a good heart' Mirror 'I have never begun a Patterson book and been able to put it down' Larry King 'Patterson and Paetro at their best.... A series that shows no signs of fatigue or flagging' BookReporter.com The 24th Hour was a No. 1 Sunday Times Bestseller 17/03/2024 Published: 2016.0"
